code_aliment;nom_fr;nom_scientifique;groupe;sous_groupe;sous_sous_groupe;energie_kcal_100g;eau_g;proteines_g;glucides_g;sucres_g;fibres_g;lipides_g;ag_satures_g;ag_monoinsatures_g;ag_polyinsatures_g;omega3_ala_g;sel_g;calcium_mg;fer_mg;magnesium_mg;zinc_mg;phosphore_mg;potassium_mg;vitamine_C_mg;beta_carotene_ug;vitamine_D_ug;vitamine_B12_ug;folates_B9_ug;vitamine_B1_mg;vitamine_B2_mg;vitamine_B6_mg;vitamine_E_mg
24999;Dessert (aliment moyen);;;;;255;49,9;4,41;32,9;21,3;1,7;11,3;4,96;4,04;1,33;0,23;0,33;67,6;1,3;19,1;0,46;91,9;178;2,42;57;0,16;0,18;-;0,045;0,16;0,044;-
25600;Salade de céleri rémoulade, préemballée;;entrées et plats composés;salades composées et crudités;-;114;81,5;0,94;3,14;1,8;2,2;10,2;0,94;6,24;2,54;0,73;1,17;34;0,23;8,8;0,21;40;260;3,06;7,86;< 0,5;< 0,08;6,39;0,018;0,029;0,089;-
25605;Champignons à la grecque, préemballés;;entrées et plats composés;salades composées et crudités;-;76,3;85,2;2,07;3,53;2,33;2,35;5,47;0,4;1,5;1,63;0,026;1,17;19,5;1,06;13,5;0,4;64,1;277;6,67;747;0;0,018;19,6;0,056;0,21;0,088;1,08
25606;Salade de pommes de terre, faite maison;;entrées et plats composés;salades composées et crudités;-;127;76;2,68;9,9;-;1,3;8,2;1,43;2,48;3,74;-;1,32;19;0,65;15;0,31;52;254;10;36;0;0;7;0,077;0,06;0,14;-
25614;Salade de riz, appertisée;;entrées et plats composés;salades composées et crudités;-;127;72,5;5,13;16,1;1;1,7;4,35;0,53;2,23;-;0,2;1,1;23,3;0,43;13,1;0,3;66,6;143;4,48;34;< 0,5;0,43;33,5;0,058;0,045;0,13;1,63
25615;Salade de pâtes au fromage et légumes, avec sauce;;entrées et plats composés;salades composées et crudités;-;119;75,4;4,4;13,7;2,1;1,7;4,8;1,4;0,92;2,48;-;0,74;14;0,6;11;0,4;37;84;21;1180;0;0;16;0,04;0,02;0,09;1,95
25626;Macédoine de légumes en salade, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;129;77,7;2,5;3,47;1,56;4;10,7;0,78;5,78;2,78;0,87;0,99;44;0,72;16,2;0,55;50,4;127;5,93;4760;< 0,6;< 0,1;-;0,08;0,02;0,05;-
25629;Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée;;entrées et plats composés;salades composées et crudités;-;168;65,5;3,79;17,4;4,61;3,3;8,3;0,92;3,95;3,04;0,25;0,77;37;1,2;46;0,77;110;140;< 0,5;611;< 0,25;-;22,1;0,071;< 0,01;0,059;-
25642;Salade de céleri et carotte rémoulade, préemballée;;entrées et plats composés;salades composées et crudités;-;79,6;-;1;5,43;3,63;3;5,33;0,36;-;-;-;0,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26257;Salade de carottes râpées, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;74,2;84,7;0,84;5,67;4,73;2,61;4,77;0,43;2,53;1,81;0,24;0,71;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26258;Salade de betterave, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;59,4;86,2;1,44;5,11;4,96;2,7;3;0,32;1,54;0,95;0,18;0,8;31,2;0,42;17,6;< 0,5;20,8;296;4,69;< 30;< 0,6;< 0,1;-;< 0,02;< 0,02;< 0,04;-
26259;Salade de chou et carotte ou coleslaw, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;105;80,4;0,94;5,78;4,72;3;8,1;0,63;4,83;2,2;0,66;0,88;39;1,3;9,3;0,27;29;210;21,6;1340;< 0,25;-;14,6;0,026;< 0,01;0,093;-
26260;Salade de concombre à la crème/fromage blanc, préemballée;;entrées et plats composés;salades composées et crudités;-;77,9;87,8;1,06;0,58;0,58;1,5;7,5;1;4,03;1,81;0,58;0,99;25,2;< 0,25;10,5;< 0,5;30,8;137;5,77;79;< 0,6;< 0,1;-;< 0,02;0,03;0,05;-
26262;Salade grecque, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;81,5;-;2;1,4;1,4;2;7,1;2,7;-;-;-;1,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26281;Salade de chou rouge, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;103;-;1,23;4,73;3,9;2,25;8,25;0,73;-;-;-;0,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25900;Soupe aux lentilles, préemballée à réchauffer;;entrées et plats composés;soupes;-;63,3;85,8;3,19;7,64;0,96;1,59;1,87;0,91;0,52;0,13;-;0,52;25;1,07;19;0,61;74;144;1,7;430;-;0,12;20;0,07;0,045;0,09;0
25903;Soupe aux légumes variés, préemballée à réchauffer;;entrées et plats composés;soupes;-;36,8;90,2;0,84;4,5;1,63;1,23;1,45;0,58;0,58;0,12;0,0068;0,63;14;0,14;5,3;0,11;19;110;5,75;1710;0;0,052;39,8;0,29;0,062;0,16;-
25905;Soupe aux légumes variés, déshydratée reconstituée;;entrées et plats composés;soupes;-;35,5;90,9;0,76;5,7;1,41;0,74;0,91;0,47;0,37;0,076;0,0084;0,69;21;0,19;7;0,12;12,5;60;6,17;261;0;0,029;8,4;0,05;0,24;0,044;-
25907;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;;entrées et plats composés;soupes;-;37,1;90,8;0,91;5,12;1,17;0,88;1,25;0,68;0,38;0,19;0,064;0,62;16;0,17;5,6;0,13;16;94;7,95;120;-;0,045;29,3;0,01;0,03;0,23;-
25910;Soupe à l'oignon, préemballée à réchauffer;;entrées et plats composés;soupes;-;60,8;90,6;1,64;4,26;2,65;1,38;3,83;2,03;-;0,26;-;0,7;12;0,27;1;0,25;4;28;0,5;1;0;0;6;0,013;0,01;0,02;-
25912;Soupe aux champignons, préemballée à réchauffer;;entrées et plats composés;soupes;-;40,3;92;0,94;4,1;0,71;0,61;2,12;1,16;0,28;0,67;0,01;0,73;7;0,09;2;0,06;12;62;-;0;0,1;0;1;0,006;0,008;0,007;-
25913;Soupe à la carotte, préemballée à réchauffer;;entrées et plats composés;soupes;-;35,8;91,2;0,68;4,03;1,81;1,26;1,61;1,05;0,52;0,042;-;0,64;15;0,3;7;-;20;140;11;3500;-;-;9;0,05;-;0,08;-
25914;Soupe à la tomate, préemballée à réchauffer;;entrées et plats composés;soupes;-;36,2;90,3;0,76;5,88;2,99;0,95;0,88;0,32;0,34;0,13;0,015;0,63;11;0,14;5,9;0,08;15;130;6,4;1680;0,6;0,01;23,8;0,01;0,056;0,2;-
25916;Soupe minestrone, préemballée à réchauffer;;entrées et plats composés;soupes;-;46,5;89,4;1,51;4,97;1,53;1,65;1,93;0,18;-;-;-;0,61;33,3;0,56;12,5;0,19;34,5;106;1,25;885;0;0;10;0,023;0,034;0,071;-
25917;Soupe au pistou, déshydratée reconstituée;;entrées et plats composés;soupes;-;27;89,4;1,01;4,77;0,92;0,69;0,28;0,023;0,2;0,052;-;0,69;19;0,4;14;0,19;24;132;7;900;-;-;18;-;-;0,07;0,2
25923;Soupe asiatique, avec pâtes, déshydratée reconstituée;;entrées et plats composés;soupes;-;38,4;93,3;1,12;5,69;1,17;0,47;1,14;0,47;-;-;-;0,75;-;-;-;-;-;37,8;-;-;-;-;-;-;-;-;-
25924;Soupe marocaine, déshydratée reconstituée;;entrées et plats composés;soupes;-;39,9;90;2,07;6,43;1,34;1,03;0,46;0,13;-;-;-;0,7;-;-;-;-;-;80,5;-;-;-;-;-;-;-;-;-
25925;Soupe aux poireaux et pommes de terre, déshydratée reconstituée;;entrées et plats composés;soupes;-;36,2;92,8;0,76;4,93;0,88;0,45;1,4;0,73;-;-;-;0,76;-;-;-;-;0,013;0,023;30;90;-;-;-;0,07;-;-;-
25932;Soupe aux asperges, déshydratée reconstituée;;entrées et plats composés;soupes;-;37,4;90,8;0,79;5,38;1,19;0,36;1,34;0,63;-;-;-;0,78;-;-;-;-;0,015;0,035;-;-;-;-;10;-;-;-;-
25933;Soupe à la tomate et aux vermicelles, préemballée à réchauffer;;entrées et plats composés;soupes;-;38;-;1,2;6,09;2,12;1,01;0,77;0,3;-;-;-;0,7;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-
25934;Soupe aux céréales et aux légumes, déshydratée reconstituée;;entrées et plats composés;soupes;-;47,8;90;1,4;6,8;1,2;1,2;1,4;0,8;-;-;-;0,78;12,5;0,29;9,35;-;-;94;3,84;-;-;-;16,8;0,04;-;0,07;-
25935;Soupe à la tomate, déshydratée reconstituée;;entrées et plats composés;soupes;-;39,6;90,4;0,98;6,45;2,65;0,72;0,98;0,54;0,32;0,12;0,0077;0,69;11;0,14;5;0,1;10;65;< 0,5;147;-;0,14;6,85;0,02;0,017;0,027;-
25936;Soupe aux champignons, déshydratée reconstituée;;entrées et plats composés;soupes;-;37,7;91,3;0,66;4,86;0,53;0,33;1,67;0,83;0,6;0,15;< 0,01;0,68;10;0,02;2,5;0,07;9,51;48;< 0,5;14,7;< 0,25;0,028;8,25;0,03;0,034;0,033;-
25942;Soupe à l'oignon, déshydratée reconstituée;;entrées et plats composés;soupes;-;19,4;94,1;0,5;3,36;0,99;0,34;0,38;0,14;-;-;-;0,69;20;-;5,26;0,083;0,01;56,7;-;-;-;-;-;-;-;-;-
25945;Soupe au potiron, préemballée à réchauffer;;entrées et plats composés;soupes;-;36,2;91,8;0,66;4,48;2,15;0,99;1,51;1,01;0,45;0,056;0,015;0,62;15;0,14;5,8;0,13;17;130;< 0,5;2530;0;0,036;9,35;0,018;0,014;0,065;-
25948;Bouillon de légumes, déshydraté reconstitué;;entrées et plats composés;soupes;-;4,78;98;0,34;0,51;0,19;0;0,16;0,14;0,016;0,0093;-;0,61;1;0,1;2;-;0;8;0;2;-;0;1;0,11;0,01;0;-
25949;Soupe à la tomate et aux vermicelles, déshydratée reconstituée;;entrées et plats composés;soupes;-;27,7;92,2;0,8;5,36;1,38;0,33;0,29;0,073;-;-;< 0,01;0,72;9,1;0,18;4,8;0,08;0;62;< 0,5;162;< 0,5;-;11;0,02;0,04;0,018;-
25953;Soupe au pistou, préemballée à réchauffer;;entrées et plats composés;soupes;-;52,6;-;1,88;3,94;1,28;2,06;2,8;0,55;0,2;< 0,1;< 0,1;0,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25954;Soupe au potiron, déshydratée reconstituée;;entrées et plats composés;soupes;-;36,1;-;0,72;4,95;2;0,81;1,32;0,74;-;-;-;0,59;-;-;-;-;0,01;0,01;-;-;-;-;-;-;-;-;-
25955;Soupe asiatique, avec pâtes, préemballée à réchauffer;;entrées et plats composés;soupes;-;33,5;-;1,3;4,06;0,59;0,52;1,23;0,2;-;-;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25956;Soupe minestrone, déshydratée reconstituée;;entrées et plats composés;soupes;-;32,4;91,3;1,11;5,56;1,25;1,01;0,44;0,029;-;-;-;0,68;-;-;-;-;-;122;5;-;-;-;18;-;-;0,06;-
25957;Soupe au cresson, déshydratée reconstituée;;entrées et plats composés;soupes;-;25,1;-;0,42;3,95;0,31;0,19;0,8;0,42;-;-;-;0,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25958;Soupe au cresson, préemballée à réchauffer;;entrées et plats composés;soupes;-;34;-;1;5,4;0,9;0,6;0,8;0,5;-;-;-;0,78;-;-;-;-;-;-;-;-;-;-;30;-;-;0,25;-
25962;Soupe aux légumes avec fromage, préemballée à réchauffer;;entrées et plats composés;soupes;-;46,3;-;1,26;4,77;1,57;0,92;2,26;1,3;-;-;-;0,64;-;-;-;-;-;-;11;-;-;-;30;-;-;0,3;-
25963;Soupe aux légumes verts, préemballée à réchauffer;;entrées et plats composés;soupes;-;35;90,9;1,13;3,96;1,06;1,16;1,38;0,71;0,51;0,16;0,03;0,61;24;0,27;7,1;0,18;24;120;9;177;< 0,25;-;27,5;0,17;0,042;0,25;-
25964;Soupe aux légumes verts, déshydratée reconstituée;;entrées et plats composés;soupes;-;32;91,8;0,63;4,84;0,62;0,48;1,05;0,57;0,37;0,12;< 0,01;0,65;12;0,11;3;0,09;15;50;6;10,5;< 0,5;-;7,6;0,05;0,014;0,033;-
25965;Soupe aux pois cassés, préemballée à réchauffer;;entrées et plats composés;soupes;-;48,8;-;2,47;5,69;0,81;1,47;1,47;0,33;-;-;-;0,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25967;Soupe froide type gaspacho ou gazpacho, préemballée;;entrées et plats composés;soupes;-;40,2;91,1;0,81;3,21;2,7;1,07;2,33;0,38;-;0,16;0,02;0,7;11;0,11;8,9;0,1;25;210;1,98;291;< 0,25;-;< 5;< 0,01;0,02;0,041;-
25968;Soupe aux asperges, préemballée à réchauffer;;entrées et plats composés;soupes;-;57,6;-;1,54;3,8;1,02;1,05;3,8;2,29;-;-;-;0,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25969;Soupe (aliment moyen);;entrées et plats composés;soupes;-;39,5;90,7;1,42;4,81;1,61;0,94;1,42;0,6;0,44;0,15;0,026;0,71;28,7;0,27;6,98;0,18;24,4;103;5,42;1040;-;0,24;16,6;0,042;0,038;0,11;-
25972;Soupe miso, déshydratée reconstituée;;entrées et plats composés;soupes;-;16,5;94,6;1,24;2,37;0,86;0,098;0,34;0,05;< 0,0098;< 0,0098;< 0,0098;1;18;0,19;6,9;0,11;19;49;-;-;< 0,25;1,98;16,5;< 0,015;< 0,01;< 0,01;-
25973;Soupe aux légumes et aux vermicelles, déshydratée reconstituée;;entrées et plats composés;soupes;-;35,6;-;0,8;6,19;1,07;0,33;0,77;0,33;-;-;-;0,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25974;Soupe aux légumes et aux vermicelles, préemballée à réchauffer;;entrées et plats composés;soupes;-;37;-;1,07;5,4;1,76;1,01;1,01;0,43;-;-;-;0,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
8296;Terrine ou mousse de légumes, premballée;;entrées et plats composés;plats composés;plats de légumes/légumineuses;140;75,9;6,67;5,5;1,33;2,55;9,56;3,59;4,47;1,49;-;1,46;68,6;1,76;24;0,7;132;232;2,16;-;0,2;traces;110;-;-;0,36;2,11
8297;Flan de légumes aux oeufs;;entrées et plats composés;plats composés;plats de légumes/légumineuses;210;68;5,38;4,13;2,06;2,3;18,6;10,8;5,38;1,13;0,1;0,89;72;0,75;12;0,58;100;200;< 0,5;1790;< 0,5;0,6;51,4;0,1;0,18;0,073;-
20194;Haricots blancs à la sauce tomate, appertisés;;entrées et plats composés;plats composés;plats de légumes/légumineuses;80,5;74,7;4,83;11,7;3;5;0,5;0,16;-;-;-;0,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20240;Piperade basquaise, préemballée;;entrées et plats composés;plats composés;plats de légumes/légumineuses;67,8;84,5;1,1;5,38;4,9;3,4;3,8;2;1,47;0,33;0,022;0,76;7,6;0,24;7,9;0,09;14;190;12,2;1450;-;-;11;0,029;0,016;0,063;-
20262;Poêlée de légumes assaisonnés sans champignon, surgelée, crue;;entrées et plats composés;plats composés;plats de légumes/légumineuses;50,4;87,1;2,6;5;1,5;3,6;1,5;0,4;0,52;0,14;0,04;1,25;24,5;6;-;-;-;-;30,8;-;-;-;-;-;-;-;-
20273;Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;;entrées et plats composés;plats composés;plats de légumes/légumineuses;73,5;-;1,75;4;3,25;2,75;5;0,5;-;-;-;0,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20274;Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;;entrées et plats composés;plats composés;plats de légumes/légumineuses;48;86,5;1,61;4,33;2,66;4,14;1,77;0,15;0,69;0,94;0,029;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20498;"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée";;entrées et plats composés;plats composés;plats de légumes/légumineuses;31,5;91,4;1,5;4;1,5;2,5;0,5;0,031;0,2;0,26;0,015;0,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25018;Ratatouille cuisinée, préemballée;;entrées et plats composés;plats composés;plats de légumes/légumineuses;57,1;88;1,22;4,97;3,91;2,03;3,15;0,47;2,19;0,48;0,06;0,94;16,4;0,38;18,6;0,17;22;295;25,2;373;0;-;18;0,03;0,03;0,04;1,56
25026;Épinard à la crème, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;57,3;86,9;2,5;4,1;1,19;1,9;2,9;1,82;0,67;0,18;0,1;0,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25052;Gratin d'aubergine, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;105;80,9;1,5;5,5;3,5;2,5;8;1;-;-;-;0,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25056;Gratin dauphinois, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;113;74,7;3,38;14,5;2,08;1,5;4,2;2,67;0,99;0,2;0,03;0,81;38,6;0,32;13,8;0,29;95;219;3,1;11;0;0;7;0,02;0,081;0,04;0,2
25101;Gratin de chou-fleur, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;86,3;82,1;3;3,3;0,88;1,3;6,5;4;1,31;0,16;0,016;1,07;96,6;0,27;10,7;2,3;-;147;-;-;-;-;-;-;-;-;-
25162;Gratin de légumes, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;106;79,6;3,44;6,91;3,42;1,7;6,7;3,41;1,81;0,99;0,09;0,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25196;Riste d'aubergines (aubergines, tomates, oignons), préemballée;;entrées et plats composés;plats composés;plats de légumes/légumineuses;145;-;1,05;10,6;5,2;2,6;10,4;2;2,78;5,57;< 0,1;1,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25199;Palet ou galette de légumes, préfrit, surgelé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;101;80,5;2,33;8,67;3;3;5,67;1,33;2,24;1,12;0,049;0,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25208;Palet ou galette de légumes, préfrit, surgelé, cuit;;entrées et plats composés;plats composés;plats de légumes/légumineuses;105;78,2;3,31;8,45;3;2,6;5,7;0,64;2,41;2,29;0,05;0,75;40;0,52;16;0,36;58;250;1,23;986;< 0,5;0,18;33,8;0,19;0,11;0,088;-
25238;Gratin de légumes, fait maison;;entrées et plats composés;plats composés;plats de légumes/légumineuses;107;82;3,15;3,59;1,95;1,7;8,51;2,49;3,85;1,75;-;0,5;83,1;0,51;16,6;0,49;65,5;175;12,6;567;0,084;0,12;41;0,051;0,072;0,11;1,84
25524;Tomate à la provençale, fait maison;;entrées et plats composés;plats composés;plats de légumes/légumineuses;75,7;83,6;1,65;6,55;2,71;2;4,32;0,94;2,55;0,6;-;0,47;23;0,67;13,1;0,22;33;247;21,5;1480;0,01;0;22,2;0,063;0,038;0,11;1,64
25556;Beignet de légumes;;entrées et plats composés;plats composés;plats de légumes/légumineuses;140;69,9;4;12,1;4,5;2;8;0,91;4,75;2,34;-;0,54;52,4;0,72;17,7;0,4;68,1;209;13,2;197;0,16;0,14;43;0,058;0,14;0,12;2,86
25571;Falafel ou boulette de pois-chiche et/ou fève, vente à emporter;;entrées et plats composés;plats composés;plats de légumes/légumineuses;252;48;8,25;18,7;1,4;7,7;14,4;1,5;6,4;5,83;0,12;1,6;57;2,1;51;1,3;180;390;< 0,5;35;< 0,25;-;105;0,047;< 0,01;0,17;-
25588;Gratin de légumes en sauce blanche type béchamel, préemballé, cuit;;entrées et plats composés;plats composés;plats de légumes/légumineuses;105;79,9;3,64;6,74;3,2;1;6,5;3,48;2,03;0,51;0,13;0,64;84;0,31;13;0,44;88;190;1,94;609;< 0,5;0,33;24,4;0,064;0,1;0,052;-
25590;Falafel ou boulette de pois-chiche et/ou fève, préemballé;;entrées et plats composés;plats composés;plats de légumes/légumineuses;211;55,7;7,38;17,7;3,57;6;10,8;1,28;5,67;3,32;0,11;0,87;57;1,6;40;1;99;340;< 0,5;43,8;< 0,25;-;57,3;0,15;0,044;0,082;-
9082;Blé dur précuit, cuisiné, en sachet micro-ondable;;entrées et plats composés;plats composés;plats de céréales/pâtes;188;57;4,86;29,6;2,21;2,58;4,84;1,11;-;-;-;1,16;-;-;-;-;-;-;40;-;0;0;118;0,72;0,016;0,12;-
25085;Pâtes à la bolognaise (spaghetti, tagliatelles…), préemballées;;entrées et plats composés;plats composés;plats de céréales/pâtes;116;74,1;5,32;13,6;2,64;1,9;4,07;1,42;1,7;0,95;0,1;0,83;14;0,79;19,6;0,9;58,3;176;4,22;150;0;0,32;9,05;0,05;0,05;0,14;1,31
25088;Riz cantonais, préemballé;;entrées et plats composés;plats composés;plats de céréales/pâtes;164;62,9;5,46;23,6;1,28;1,74;4,94;0,75;1,34;1,76;0,042;0,86;16,7;0,4;8,47;0,5;60,6;78;0,97;60;< 0,5;0,14;33;0,12;0,051;0,085;0,91
25131;Lasagnes ou cannellonis aux légumes, préemballées, cuits;;entrées et plats composés;plats composés;plats de céréales/pâtes;120;74,5;4,38;10,1;3,68;2,25;5,9;1,91;2,06;1,54;0,04;0,6;76;0,62;20;0,54;85;240;3,34;531;< 0,5;0,2;27;< 0,015;0,063;0,08;-
25135;Pâtes à la carbonara (spaghetti, tagliatelles…), préemballées;;entrées et plats composés;plats composés;plats de céréales/pâtes;161;67,4;5,91;14,2;1,79;1,18;8,7;4,34;2,71;0,96;0,048;0,86;36,1;0,45;14,6;1;86,2;87,1;0,82;60;0,1;0,11;7,29;0,13;0,08;0,06;1,19
25149;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, cuites;;entrées et plats composés;plats composés;plats de céréales/pâtes;226;51,3;10;26,8;4,4;1,9;8,3;4,64;2,1;0,85;0,07;0,79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25150;Couscous de légumes, préemballé;;entrées et plats composés;plats composés;plats de céréales/pâtes;108;71,1;4,32;16,4;2,54;2,24;2,25;0,8;0,56;0,89;0,077;0,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25155;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;;entrées et plats composés;plats composés;plats de céréales/pâtes;219;51,2;7,94;27,8;3,53;3,4;7,5;2,36;2,66;2,03;0,1;1,05;69;0,57;20;0,51;93;130;< 0,5;157;< 0,5;0,25;8,62;0,07;0,07;0,058;-
25181;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;;entrées et plats composés;plats composés;plats de céréales/pâtes;268;42,9;11,3;37,3;3,83;2,23;7,69;4,28;2,55;0,74;0,072;1,13;141;1;21,7;< 1;165;112;-;< 50;-;0,6;11,4;0,07;0,13;< 0,05;-
25182;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;;entrées et plats composés;plats composés;plats de céréales/pâtes;262;37,5;9,98;41,4;3,46;2,87;5,69;2,74;1,31;1,64;0,039;1,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25187;Risotto, aux légumes, préemballé;;entrées et plats composés;plats composés;plats de céréales/pâtes;120;73,6;2,74;18,4;0,85;< 0,5;3,8;2;1,3;0,23;0,03;0,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25189;Risotto, aux fromages, préemballé;;entrées et plats composés;plats composés;plats de céréales/pâtes;195;-;5,65;30,9;0,58;0,7;5,16;2,49;-;-;-;0,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25192;Ravioli aux légumes, à la sauce tomate, appertisés;;entrées et plats composés;plats composés;plats de céréales/pâtes;91,1;78,5;2,88;13,5;2,83;1,7;2,45;0,48;0,98;0,98;0,08;0,76;15;1,1;16;0,21;32;280;< 0,5;1170;< 0,25;0,082;14,2;0,05;0,033;0,096;-
25193;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;;entrées et plats composés;plats composés;plats de céréales/pâtes;156;64,6;5,19;20,9;1,9;3,7;4,9;1,93;1,63;1,07;0,04;0,49;50;0,51;15;0,48;75;76;< 0,5;119;< 0,5;0,49;42,4;0,057;0,066;0,038;-
25198;Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;;entrées et plats composés;plats composés;plats de céréales/pâtes;163;-;7,17;15,9;5,85;1,85;7,4;4,35;-;-;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25203;Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;;entrées et plats composés;plats composés;plats de céréales/pâtes;255;-;9,4;41,4;3,14;3,02;5,06;1,74;-;-;-;0,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25216;Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);;entrées et plats composés;plats composés;plats de céréales/pâtes;198;56,1;7,97;25,6;2,78;2,49;6,48;2,88;2,08;1,07;0,071;0,7;44,1;0,67;17,6;0,62;85,2;100;< 0,5;110;< 0,69;0,47;18,5;0,13;0,058;0,05;-
25217;Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;;entrées et plats composés;plats composés;plats de céréales/pâtes;150;67,6;2,5;18,6;0,8;2,6;6,5;0,85;2,1;3,24;0,17;1,34;70;1,1;14;0,36;42;110;< 0,5;685;< 0,25;-;19,9;0,018;< 0,01;0,042;-
25219;Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;;entrées et plats composés;plats composés;plats de céréales/pâtes;179;65,6;7;14;2,3;1,4;10,2;5,23;3,04;1,13;0,08;0,85;32;0,18;6,5;0,23;40;59;0,67;235;< 0,5;0,18;39,5;0,041;0,089;0,047;-
25243;Nouilles asiatiques instantanées, aromatisées, cuites;;entrées et plats composés;plats composés;plats de céréales/pâtes;164;66,9;3,75;21,1;-;1;6,9;3,16;2,67;0,77;0,02;0,23;11;0,32;9,1;0,19;43;26;-;< 10;-;0,073;< 5;0,023;< 0,01;< 0,01;-
25635;Lasagnes ou cannellonis au fromage et aux épinards, préemballés;;entrées et plats composés;plats composés;plats de céréales/pâtes;133;68,1;6,1;11,4;3,5;1,87;6,6;3,1;2,46;0,66;0,15;0,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4041;Aligot (purée de pomme de terre à la tomme fraîche), préemballé;;entrées et plats composés;plats composés;plats de fromage;195;65,1;8,06;9,5;0,57;1,3;13,3;8,25;3,5;0,37;0,11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
19437;Fromage de chèvre pané à dorer, préemballé;;entrées et plats composés;plats composés;plats de fromage;-;48,6;12,9;15;3,5;-;19,2;9,99;4,42;3,52;0,07;1,27;100;0,27;14;0,69;160;120;< 0,5;< 5;< 0,25;0,17;24,9;0,043;0,081;0,035;-
25020;Soufflé au fromage;;entrées et plats composés;plats composés;plats de fromage;185;67,3;10,9;4,75;2,15;1,15;13,4;8,15;4,23;0,76;-;0,95;226;0,6;19,7;1,37;196;138;1;38;0,5;0,6;20,1;0,05;0,24;0,06;0,6
25437;Gougère;;entrées et plats composés;plats composés;plats de fromage;399;30,3;16,2;22,7;0,56;1,9;26,6;16;7,11;1,65;0,17;1,13;302;1,34;22,7;1,98;297;131;0;116;0,89;0,98;37,4;0,076;0,35;0,11;0,97
